code_id, code_header_id, code_name, code_description, code_sort_order, valid_from, valid_to, created_at,updated_at, created_by_user_id, updated_by_user_id
909,62,PPDH2,Kootenay PPdh,201,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
910,62,PPXH1,Okanagan PPxh,195,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
911,62,PPXH2,Thompson PPxh,197,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
912,62,SBSDH,Dry Hot SBS,208,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
913,62,SBSDK,Dry Cool SBS,215,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
914,62,SBSDW,Dry Warm SBS,211,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
915,62,SBSMC,Moist Cold SBS,222,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
916,62,SBSMH,Moist Hot SBS,216,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
917,62,SBSMK,Moist Cool SBS,219,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
918,62,SBSMM,Moist Mild SBS,218,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
919,62,SBSMW,Moist Warm SBS,217,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
920,62,SBSVK,Very Wet Cool SBS,230,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
921,62,SBSWK,Wet Cool SBS,226,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
922,62,SWBDK,Dry Cool SWB,232,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
923,62,SWBMK,Moist Cool SWB,233,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
924,62,SWBVK,Very Wet Cool SWB,236,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
925,62,BWBSDK,Dry Cool BWBS,11,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
926,62,BWBSMW,Moist Warm BWBS,14,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
927,62,BWBSVK,Very Wet Cool BWBS,21,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
928,62,BWBSWK,Wet Cool BWBS,17,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
929,62,CWHDS1,Southern CWHds,30,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
930,62,CWHMM1,Submontane CWHmm,33,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
931,62,CWHMS1,Southern CWHms,36,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
932,62,CWHMS2,Central CWHms,37,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
933,62,CWHVH2,Central CWHvh,47,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
934,62,CWHVM2,Montane CWHvm,50,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
935,62,CWHVM3,Central CWHvm,51,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
936,62,CWHWH2,Montane CWHwh,40,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
937,62,CWHWS1,Submontane CWHws,43,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
938,62,CWHXM1,Eastern CWHxm,26,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
939,62,ESSFDC,Dry Cold ESSF,58,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
940,62,ESSFDK,Dry Cool ESSF,57,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
941,62,ESSFMC,Moist Cold ESSF,68,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
942,62,ESSFMM,Moist Mild ESSF,64,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
943,62,ESSFMV,Moist Very Cold ESSF,69,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
944,62,ESSFVC,Very Wet Cold ESSF,84,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
945,62,ESSFVV,Very Wet Very Cold ESSF,85,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
946,62,ESSFWK,Wet Cool ESSF,75,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
947,62,ESSFWV,Wet Very Cold ESSF,83,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
948,62,ESSFXC,Very Dry Cold ESSF,53,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
949,62,ICHMC1,Nass ICHmc,126,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
950,62,ICHMC2,Hazelton ICHmc,128,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
951,62,ICHMK2,Thompson ICHmk,123,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
952,62,ICHMW1,Golden ICHmw,117,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
953,62,ICHMW2,Columbia?Shuswap ICHmw,118,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
954,62,ICHVK1,Mica ICHvk,137,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
955,62,ICHVK2,Slim ICHvk,139,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
956,62,ICHWK2,Quesnel ICHwk,132,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
957,62,ICHWK4,Cariboo ICHwk,134,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
958,62,IDFDK1,Thompson IDFdk,156,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
959,62,IDFDK3,Fraser IDFdk,161,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
960,62,IDFDM1,Kettle IDFdm,153,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
961,62,IDFDM2,Kootenay IDFdm,154,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
962,62,IDFMW2,Thompson IDFmw,165,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
963,62,IDFXH1,Okanagan IDFxh,143,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
964,62,MHMM2E,Engelmann Spruce Phase,172,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
965,62,MHMMP2,Leeward MHmmp,178,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
966,62,MHWHP1,Windward MHwhp,180,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
967,62,PPXH1A,Grassland Phase,196,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
968,62,SBPBMK,Moist Cool SBPS,205,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
969,62,SBPSDC,Dry Cold SBPS,204,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
970,62,SBPSXC,Very Dry Cold SBPS,203,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
971,62,SBSDH1,McLennan SBSdh,209,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
972,62,SBSDW1,Horsefly SBSdw,212,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
973,62,SBSDW3,Stuart SBSdw,214,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
974,62,SBSMC1,Moffat SBSmc,223,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
975,62,SBSMC3,Kluskus SBSmc,225,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
976,62,SBSMK2,Williston SBSmk,221,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
977,62,SBSWK1,Willow SBSwk,227,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
978,62,SBSWK3,Takla SBSwk,229,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
979,62,SWBDKS,Dry Cool Scrub SWB,234,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
980,62,SWBVKS,Very Wet Cool Scrub SWB,237,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
981,62,BWBSDK1,Stikine BWBSdk,12,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
982,62,BWBSMW1,Peace BWBSmw,15,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
983,62,BWBSWK1,Murray BWBSwk,18,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
984,62,BWBSWK2,Graham BWBSwk,19,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
985,62,ESSFDC1,Okanagan ESSFdc,59,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
986,62,ESSFDC2,Thompson ESSFdc,60,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
987,62,ESSFDKP,Dry Cool Parkland ESSF,88,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
988,62,ESSFDVP,Dry Very Cold Parkland ESSF,92,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
989,62,ESSFMKP,Moist Cool Parkland ESSF,97,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
990,62,ESSFMM1,Raush ESSFmm,65,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
991,62,ESSFMMP,Moist Mild Parkland ESSF,94,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
992,62,ESSFMV2,Bullmoose ESSFmv,71,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
993,62,ESSFMV3,Omineca ESSFmv,72,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
994,62,ESSFMVP,Moist Very Cold Parkland ESSF,99,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
995,62,ESSFMWP,Moist Warm Parkland ESSF,93,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
996,62,ESSFVCP,Very Wet Cold Parkland ESSF,110,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
997,62,ESSFWC1,Columbia ESSFwc,79,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
998,62,ESSFWC2,Northern Monashee ESSFwc,80,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
999,62,ESSFWC3,Cariboo ESSFwc,81,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1000,62,ESSFWCP,Wet Cold Parkland ESSF,105,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1001,62,ESSFWK2,Misinchinka ESSFwk,77,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1002,62,ESSFWMP,Wet Mild Parkland ESSF,104,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1003,62,ESSFXCP,Very Dry Cold Parkland ESSF,86,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1004,62,ESSFXV1,Very Dry Very Cold ESSF Variant 1,55,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1005,62,ESSFXVP,Very Dry Very Cold Parkland ESSF,87,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1006,62,ICHMC1A,Amabilis Fir Phase,127,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1007,62,ICHVK1C,Cold Air Phase,138,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1008,62,IDFDK1A,Grassland Phase,157,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1009,62,IDFDK1B,Steep South Phase,158,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1010,62,IDFMW2A,Grassland Phase,166,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1011,62,IDFXH1B,Steep South Phase,145,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1012,62,IDFXH2A,Grassland Phase,147,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1013,62,IDFXH2B,Steep South Phase,148,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1014,62,ESSFDCP1,Okanagan ESSFdcp,90,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1015,62,ESSFDCP2,Thompson ESSFdcp,91,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1016,62,ESSFMMP1,?Raush ESSFmmp,95,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1017,62,ESSFMMP2,?Robson ESSFmmp,96,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1018,62,ESSFMVP1,?Nechako ESSFmvp,100,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1019,62,ESSFMVP2,Bullmoose ESSFmvp,101,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1020,62,ESSFMVP3,Omineca ESSFmvp,102,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1021,62,ESSFMVP4,Graham ESSFmvp,103,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1022,62,ESSFWCP2,Northern Monashee ESSFwcp,106,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1023,62,ESSFWCP3,Cariboo ESSFwcp,107,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1024,62,ESSFWCP4,Selkirk ESSFwcp,108,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1025,98,D,Dry Lick,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1026,98,W,Wet Lick,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1027,98,MS,Mineral Springs Lick,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1028,98,WM,Wet Muck Lick,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1029,99,MOR,Mor,1,2015-07-28 00:00:00,,2000-12-13 00:00:00,2015-07-28 00:00:00,1,1
1030,99,MULL,Mull,3,2015-07-28 00:00:00,,2000-12-13 00:00:00,2015-07-28 00:00:00,1,1
1031,99,MODER,Moder,2,2015-07-28 00:00:00,,2000-12-13 00:00:00,2015-07-28 00:00:00,1,1
1032,84,ALR,Alsek Ranges,0,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1033,84,APM,Alaska Panhandle Mountains,0,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1034,84,BAU,Babine Upland,0,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1035,84,BBT,Big Bend Trench,0,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1036,84,BOR,Boundary Ranges,0,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1037,84,BOV,Bowron Valley,0,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1038,84,BRR,Border Ranges,0,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1039,84,BUB,Bulkley Basin,0,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1040,84,BUR,BULKLEY RANGES,0,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1041,84,CAB,Cariboo Basin,0,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1042,84,CAM,Cariboo Mountains,0,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1043,84,CAP,Cariboo Plateau,0,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1044,84,CAR,Cassiar Ranges,0,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1045,84,CCM,Central Columbia Mountains,0,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1046,84,CCR,Central Chilcotin Ranges,0,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1047,84,CHP,Chilcotin Plateau,0,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1048,84,CLH,Clear Hills,0,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1049,84,COC,Crown of the Continent,0,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1050,84,CPK,Central Park Ranges,0,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1051,84,DIE,Dixon Entrance,0,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1052,84,EKT,East Kootenay Trench,0,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1053,84,EMR,Eastern Muskwa Ranges,0,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1054,84,EPM,Eastern Purcell Mountains,0,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1055,84,EPR,Eastern Pacific Ranges,0,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1056,84,ESM,Eastern Skeena Mountains,0,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1057,84,FNL,Fort Nelson Lowland,0,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1058,84,FRB,Fraser River Basin,0,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1059,84,FRR,Front Ranges,0,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1060,84,HAF,Hart Foothills,0,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1061,84,HAP,Halfway Plateau,0,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1062,84,HEL,Hecate Lowland,0,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1063,84,HOR,Hozameen Range,0,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1064,84,ICR,Icefield Ranges,0,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1065,84,JDF,Juan de Fuca Strait,0,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1066,84,KIP,Kiskatinaw Plateau,0,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1067,84,KIR,Kitimat Ranges,0,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1068,84,LIP,Liard Plain,0,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1069,84,LPR,Leeward Pacific Ranges,0,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1070,84,MAU,Maxhamish Upland,0,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1071,84,MCR,McGillivary Range,0,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1072,84,MIR,Misinchinka Ranges,0,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1073,84,MUP,MUSKWA PLATEAU,0,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1074,84,NAL,Nanaimo Lowland,0,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1075,84,NAR,NASS RANGES,0,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1076,84,NEL,Nechako Lowland,0,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1077,84,NIM,Northern Island Mountains,0,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1078,84,NKM,Northern Kootenay Mountains,0,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1079,84,NOH,Northern Okanagan Highland,0,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1080,84,NPK,Northern Park Ranges,0,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1081,84,NSM,Northern Skeena Mountains,0,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1082,84,NTU,Northern Thompson Upland,0,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1083,84,NWL,Nahwitti Lowland,0,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1084,84,OKR,Okanagan Range,0,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1085,84,PAR,Pavilion Ranges,0,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1086,84,PEF,Peace Foothills,0,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1087,84,PEL,Peace Lowland,0,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1088,84,QCL,QUEEN CHARLOTTE LOWLAND,0,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1089,84,QCT,Queen Charlotte Strait,0,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1090,84,QUH,Quesnel Highland,0,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1091,84,SBP,Southern Boreal Plateau,0,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1092,84,SCM,Southern Columbia Mountains,0,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1093,84,SFH,Selkirk Foothills,0,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1094,84,SGI,Southern Gulf Islands,0,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1095,84,SKP,Skidegate Plateau,0,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1096,84,SOB,Southern Okanogan Basin,0,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1097,84,SOH,Southern Okanogan Highland,0,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1098,84,SPK,Southern Park Ranges,0,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1099,84,SPR,Southern Pacific Ranges,0,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1100,84,STP,Stikine Plateau,0,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1101,84,STU,Southern Thompson Upland,0,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1102,84,TAH,Tagish Highland,0,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1103,84,TEB,Teslin Basin,0,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1104,84,THB,Thompson Basin,0,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1105,84,THH,Tahltan Highland,0,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1106,84,UFT,Upper Fraser Trench,0,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1107,84,WCR,Western Chilcotin Ranges,0,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1108,84,WCU,Western Chilcotin Upland,0,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1109,84,WMR,Western Muskwa Ranges,0,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1110,84,WQC,Windward Queen Charlotte Mountains,0,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1111,74,2,Lower Mainland,2,2009-10-09 00:00:00,,2000-12-13 00:00:00,2009-10-09 00:00:00,1,1
1112,74,3,Thompson,3,2009-10-09 00:00:00,,2000-12-13 00:00:00,2009-10-09 00:00:00,1,1
1113,74,5,Cariboo,5,2009-10-09 00:00:00,,2000-12-13 00:00:00,2009-10-09 00:00:00,1,1
1114,74,7A,Peace,0,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1115,85,HN,High number,3,2009-10-09 00:00:00,,2000-12-13 00:00:00,2009-10-09 00:00:00,1,1
1116,85,MN,Moderate number,2,2009-10-09 00:00:00,,2000-12-13 00:00:00,2009-10-09 00:00:00,1,1
1117,86,2,Cresol red,2,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1118,86,3,Hellige-Truog,3,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1119,86,5,pH meter (1:1 H2O),5,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1120,86,6,pH meter (0.1 M CaCl2),6,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1121,86,8,Soiltex,8,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1122,86,10,pHydrion,10,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1123,87,L,Low,3,2009-10-09 00:00:00,,2000-12-13 00:00:00,2009-10-09 00:00:00,1,1
1124,87,T,Trace,4,2009-10-09 00:00:00,,2000-12-13 00:00:00,2009-10-09 00:00:00,1,1
1125,88,SHRUB,Shrub layer,5,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1126,88,HERB,Herb layer,8,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1127,88,EPIPHYTE,Epiphyte layer,10,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1128,89,BOAT,Boat,3,2020-03-20 00:00:00,,2000-12-13 00:00:00,2020-03-20 00:00:00,1,1
1129,89,VEHICLE,Vehicle,2,2020-03-20 00:00:00,,2000-12-13 00:00:00,2020-03-20 00:00:00,1,1
1130,89,WALKING,Walking,1,2020-03-20 00:00:00,,2000-12-13 00:00:00,2020-03-20 00:00:00,1,1
1131,90,D,Deep soil,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1132,90,M,Medium textured soils,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1133,90,P,Peaty material,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1134,90,V,Very shallow soils,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1135,91,LOAMY,"Loamy (SL,L,SCL,FSL)",,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1136,91,SILTY,"Silty (SiL, Si)",,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1137,91,CLAYEY,"(SiCL, CL, SC, SiC, C)",,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1138,91,ORGANIC,Organic,,2000-12-13 00:00:00,,2000-12-13 00:00:00,,1,1
1139,82,PILOT,Pilot,0,2020-02-19 00:00:00,,2000-12-13 00:00:00,2020-02-19 00:00:00,1,1
1140,82,LEADER,Leader,0,2020-02-19 00:00:00,,2000-12-13 00:00:00,2020-02-19 00:00:00,1,1
1141,82,SURVEYOR,Surveyor,0,2020-02-19 00:00:00,,2000-12-13 00:00:00,2020-02-19 00:00:00,1,1
1142,82,NAVIGATOR,Navigator,0,2009-10-09 00:00:00,,2000-12-13 00:00:00,2009-10-09 00:00:00,1,1
1143,82,COORDINATOR,Coordinator,0,2009-10-09 00:00:00,,2000-12-13 00:00:00,2009-10-09 00:00:00,1,1
1144,100,F,Fresh,3,2009-10-09 00:00:00,,2000-12-13 00:00:00,2009-10-09 00:00:00,1,1
1145,100,G,Growing season,7,2009-10-09 00:00:00,,2000-12-13 00:00:00,2009-10-09 00:00:00,1,1
1146,100,H,Heard,2,2009-10-09 00:00:00,,2000-12-13 00:00:00,2009-10-09 00:00:00,1,1
1147,100,O,Old,5,2009-10-09 00:00:00,,2000-12-13 00:00:00,2009-10-09 00:00:00,1,1
1148,100,S,Seen,1,2009-10-09 00:00:00,,2000-12-13 00:00:00,2009-10-09 00:00:00,1,1
1149,100,U,Undetermined,6,2009-10-09 00:00:00,,2000-12-13 00:00:00,2009-10-09 00:00:00,1,1
1150,100,W,Winter season,8,2009-10-09 00:00:00,,2000-12-13 00:00:00,2009-10-09 00:00:00,1,1
1151,100,Y,Year,4,2009-10-09 00:00:00,,2000-12-13 00:00:00,2009-10-09 00:00:00,1,1
1152,101,CR,Crest,1,2017-05-16 00:00:00,,2000-12-13 00:00:00,2017-05-16 00:00:00,1,1
1153,101,DP,Depression,6,2017-05-16 00:00:00,,2000-12-13 00:00:00,2017-05-16 00:00:00,1,1
1154,101,LV,Level,7,2017-05-16 00:00:00,,2000-12-13 00:00:00,2017-05-16 00:00:00,1,1
1155,101,LW,Lower slope,4,2017-05-16 00:00:00,,2000-12-13 00:00:00,2017-05-16 00:00:00,1,1
1156,101,MD,Middle slope,3,2017-05-16 00:00:00,,2000-12-13 00:00:00,2017-05-16 00:00:00,1,1
1157,101,TO,Toe,5,2017-05-16 00:00:00,,2000-12-13 00:00:00,2017-05-16 00:00:00,1,1
1158,101,UP,Upper slope,2,2017-05-16 00:00:00,,2000-12-13 00:00:00,2017-05-16 00:00:00,1,1
